etiqueta_humana,anio,trimestre,comunidad_autonoma,probabilidad_noticiable,noticiable_umbral_actual,tendencia,confianza_tendencia,gravedad_congestion,confianza_gravedad,variacion_interanual_pct
,2025,1,Canarias,0.890,true,empeora,0.790,3.42,0.650,
,2025,1,Madrid,0.610,true,empeora,0.910,3.02,0.980,
,2025,1,Asturias,0.550,false,empeora,0.880,3.03,0.980,
,2025,1,Andalucía,0.580,false,empeora,0.930,3.02,0.980,
,2025,1,Cataluña,0.640,true,empeora,0.940,3.01,0.990,
,2025,1,Baleares,0.500,false,empeora,0.880,3.00,0.990,
,2025,1,Murcia,0.180,false,empeora,0.900,2.99,0.990,
,2025,1,Comunidad Valenciana,0.160,false,empeora,0.890,2.99,0.990,
,2025,1,Castilla y León,0.140,false,empeora,0.800,2.97,0.980,
,2025,1,Galicia,0.110,false,empeora,0.730,2.94,0.950,
,2025,1,Cantabria,0.080,false,empeora,0.430,2.92,0.930,
,2025,1,Castilla-La Mancha,0.050,false,estable,0.520,2.73,0.780,
,2025,1,Extremadura,0.050,false,mejora,0.370,1.18,0.850,
,2025,1,La Rioja,0.050,false,mejora,0.430,1.12,0.890,
,2025,1,Navarra,0.060,false,mejora,0.620,1.06,0.940,
,2025,1,Aragón,0.130,false,mejora,0.900,1.00,0.990,
,2025,2,Canarias,0.670,true,mejora,0.940,2.94,0.890,
,2025,2,Madrid,0.150,false,mejora,0.940,2.93,0.930,
,2025,2,Murcia,0.100,false,mejora,0.330,3.06,0.920,
,2025,2,Cataluña,0.230,false,mejora,1.000,2.78,0.820,
,2025,2,Baleares,0.120,false,mejora,1.000,2.75,0.790,
,2025,2,Andalucía,0.610,true,mejora,1.000,1.85,0.660,
,2025,2,Asturias,0.560,false,mejora,1.000,0.99,0.800,
,2025,2,Comunidad Valenciana,0.120,false,mejora,1.000,0.77,0.740,
,2025,2,Galicia,0.110,false,mejora,1.000,0.54,0.590,
,2025,2,Castilla y León,0.560,false,mejora,1.000,0.41,0.660,
,2025,2,Aragón,0.080,false,mejora,1.000,0.41,0.650,
,2025,2,Cantabria,0.130,false,mejora,1.000,0.31,0.740,
,2025,2,Castilla-La Mancha,0.280,false,mejora,1.000,0.24,0.800,
,2025,2,Navarra,0.660,true,mejora,1.000,0.15,0.870,
,2025,2,Extremadura,0.660,true,mejora,1.000,0.08,0.930,
,2025,2,País Vasco,0.420,false,mejora,0.980,0.97,0.970,
,2025,3,Canarias,0.740,true,mejora,0.950,2.82,0.850,
,2025,3,Baleares,0.190,false,mejora,0.980,2.86,0.880,
,2025,3,Cataluña,0.650,true,mejora,1.000,2.74,0.780,
,2025,3,Asturias,0.720,true,mejora,1.000,2.73,0.770,
,2025,3,Murcia,0.720,true,mejora,1.000,2.38,0.480,
,2025,3,Andalucía,0.750,true,mejora,1.000,2.50,0.590,
,2025,3,Madrid,0.720,true,mejora,1.000,2.24,0.520,
,2025,3,Comunidad Valenciana,0.700,true,mejora,1.000,0.72,0.690,
,2025,3,Aragón,0.730,true,mejora,1.000,0.58,0.620,
,2025,3,Cantabria,0.760,true,mejora,1.000,0.38,0.690,
,2025,3,Castilla y León,0.720,true,mejora,1.000,0.42,0.650,
,2025,3,Galicia,0.740,true,mejora,1.000,0.13,0.890,
,2025,3,Castilla-La Mancha,0.820,true,mejora,1.000,0.09,0.930,
,2025,3,Navarra,0.750,true,mejora,1.000,0.23,0.800,
,2025,3,Extremadura,0.820,true,mejora,1.000,0.09,0.930,
,2025,3,País Vasco,0.770,true,mejora,1.000,0.10,0.910,
,2025,3,La Rioja,0.690,true,mejora,0.990,0.06,0.950,
,2026,1,Canarias,0.910,true,mejora,0.610,2.95,0.950,-29.57
,2026,1,Asturias,0.890,true,empeora,0.250,2.96,0.960,-18.14
,2026,1,Madrid,0.890,true,mejora,0.800,2.91,0.920,-20.40
,2026,1,Cataluña,0.900,true,mejora,0.770,2.79,0.820,-18.04
,2026,1,Andalucía,0.900,true,mejora,0.670,2.50,0.580,-24.80
,2026,1,Murcia,0.880,true,mejora,0.880,2.50,0.590,-17.16
,2026,1,Baleares,0.900,true,mejora,0.770,1.06,0.700,-21.44
,2026,1,Comunidad Valenciana,0.900,true,mejora,0.940,0.52,0.570,-20.38
,2026,1,Navarra,0.210,false,mejora,0.720,0.59,0.580,-11.75
,2026,1,Castilla y León,0.900,true,mejora,0.940,0.38,0.680,-21.13
,2026,1,Aragón,0.230,false,mejora,0.970,0.24,0.800,-10.54
,2026,1,Cantabria,0.890,true,mejora,0.990,0.34,0.720,-19.19
,2026,1,Galicia,0.910,true,mejora,0.930,0.23,0.810,-24.37
,2026,1,Castilla-La Mancha,0.930,true,mejora,0.930,0.33,0.730,-22.84
,2026,1,Extremadura,0.920,true,mejora,0.430,0.60,0.610,-21.83
,2026,1,La Rioja,0.920,true,mejora,0.900,0.31,0.750,-28.34
,2026,1,País Vasco,0.630,true,empeora,0.410,1.02,0.670,
